ВремяОкругл;Выручка;Абсолютная маржа;Маржа;Средняя маржа;Средний чек;Кол-во чеков;Кол-во товаров;Среднее кол-во товаров в  чеке;Кол-во уникальных клиентов;Ценность клиента
12;17475687;5228046;0.29916111452442473;987.7283204232004;3393;5293;14858;3;5060;1033
11;15205033;4554703;0.29955232586473174;955.0645837701825;3301;4769;12923;3;4570;997
9;3695093;1111236;0.3007328908907029;950.5868263473054;3245;1169;3120;3;1148;968
10;14045996;4156267;0.29590404268946113;942.2505100884154;3266;4411;11350;3;4202;989
14;17733376;5334875;0.30083809196850053;959.509892086331;3298;5560;15580;3;5301;1006
17;16697584;5074260;0.3038918684283906;943.8727678571429;3214;5376;15704;3;5136;988
13;12801665;3797306;0.2966259467030265;947.4316367265469;3287;4008;11274;3;3852;986
15;17480402;5239906;0.2997588957050301;912.5576454197144;3159;5742;15745;3;5501;953
16;16366949;5028168;0.3072147411224902;959.9404352806415;3215;5238;14539;3;5002;1005
18;17450683;5187900;0.29728922357938653;972.2451274362819;3375;5336;14182;3;5091;1019
19;15193385;4591157;0.3021813111429744;985.2268240343348;3347;4660;13081;3;4464;1028
20;13123735;3878789;0.2955552668504812;870.6597081930415;3028;4455;12458;3;4286;905
21;12290682;3615395;0.29415739500867405;844.9158681935031;2983;4279;12550;3;4093;883
23;10220206;3111593;0.3044550178342785;852.4912328767123;2884;3650;12087;3;3476;895
2;8189371;2491969;0.3042930891762017;827.3469455511288;2822;3012;11394;4;2815;885
4;1119740;332264;0.29673317020022505;849.7800511508951;2990;391;1473;4;388;856
5;632149;181185;0.2866175537729238;858.696682464455;3176;211;672;3;207;875
22;11348232;3395334;0.2991949759222406;825.1115431348724;2864;4115;12174;3;3906;869
6;1182135;345113;0.2919404298155456;961.3175487465181;3344;359;871;2;354;975
8;3362146;993221;0.2954128107464697;859.9316017316017;2998;1155;2826;2;1131;878
3;745483;213475;0.286357971945705;733.5910652920962;2675;291;963;3;280;762
7;2287963;669315;0.29253751044050974;952.0839260312945;3337;703;1910;3;692;967
0;4305379;1362134;0.3163795800555538;963.3196605374823;3135;1414;4141;3;1385;983
1;1849;499;0.269875608436993;499.0;1898;1;1;1;1;499
